PVM,Neste,Kemira,Metsa,Outokumpu,StoraEnso,UPM,Cargotec,Huhtamaki,Kone,Sanoma,Elisa,Nokia
30/12/2020,59.559,13.019,8.624,3.209,15.882,30.526,33.936,42.58,66.683,13.849,45.076,3.168
29/12/2020,59.359,13.037,8.548,3.191,15.896,30.55,34.064,42.768,67.376,13.89,45.174,3.21
28/12/2020,58.78,12.954,8.491,3.207,15.84,30.371,34.262,42.505,67.145,13.823,44.534,3.171
23/12/2020,58.081,12.659,8.492,3.168,15.482,29.857,33.421,42.104,65.886,13.856,44.637,3.156
22/12/2020,57.8,12.526,8.496,3.142,15.367,29.731,33.446,41.949,66.484,13.633,44.331,3.145
21/12/2020,56.97,12.386,8.55,3.079,15.466,29.512,33.102,41.359,66.555,13.557,44.453,3.125
18/12/2020,57.847,12.558,8.705,3.208,16.067,30.167,33.647,42.049,67.116,13.716,45.369,3.262
17/12/2020,57.95,12.427,8.501,3.28,15.7,30.316,33.46,41.729,66.401,13.499,44.532,3.295
16/12/2020,58.563,12.446,8.321,3.326,15.53,30.378,33.742,42.13,66.149,13.305,44.64,3.271
15/12/2020,58.444,12.247,8.203,3.204,15.281,29.973,32.721,41.933,67.685,13.206,44.381,3.312
14/12/2020,57.984,12.324,8.226,2.864,15.06,29.288,32.514,41.628,67.424,13.294,44.833,3.288
11/12/2020,58.46,12.419,8.306,2.856,14.777,29.064,31.898,40.947,67.422,13.003,44.473,3.322
10/12/2020,57.529,12.744,8.35,2.86,14.79,28.94,32.334,41.167,67.429,13.213,44.707,3.425
09/12/2020,58.218,12.784,8.356,2.944,14.91,29.381,33.173,41.617,67.362,13.427,44.641,3.462
08/12/2020,59.436,12.658,8.184,2.896,14.62,29.143,33.523,41.955,67.643,13.401,44.49,3.405
07/12/2020,59.273,12.646,8.029,2.973,14.459,28.902,33.207,41.378,67.46,13.062,43.922,3.318
04/12/2020,58.777,12.447,8.112,2.863,14.429,28.291,33.121,41.717,67.072,13.017,44.275,3.279
03/12/2020,57.765,12.267,8.136,2.666,14.54,28.511,33.526,41.715,68.276,12.993,44.448,3.292
02/12/2020,57.229,12.313,8.239,2.617,14.683,28.844,33.812,42.037,68.565,12.616,44.718,3.292
01/12/2020,56.525,12.299,7.817,2.6,14.604,28.877,34.006,42.54,68.867,12.257,44.92,3.344
30/11/2020,56.299,12.147,7.626,2.574,14.627,27.868,33.684,42.397,70.289,12.242,45.043,3.355
27/11/2020,57.086,12.343,7.58,2.637,14.438,28.108,34.261,43.187,69.44,12.353,45.413,3.415
26/11/2020,56.429,12.251,7.504,2.618,14.195,27.429,33.731,42.943,68.994,12.404,45.145,3.39
25/11/2020,57.95,12.333,7.432,2.622,14.33,27.12,34.095,43.149,68.732,12.532,45.228,3.409
24/11/2020,57.269,12.236,7.41,2.577,14.248,27.248,33.545,43.357,68.876,12.524,45.197,3.379
23/11/2020,55.382,12.128,7.413,2.525,14.122,27.01,31.729,44.505,70.626,12.368,45.782,3.299
20/11/2020,54.625,11.659,7.369,2.501,14.086,26.676,31.579,44.628,71.095,12.005,45.628,3.286
19/11/2020,53.694,11.609,7.448,2.481,14.055,26.536,31.577,44.898,70.541,12.126,45.363,3.247
18/11/2020,53.848,11.56,7.495,2.559,14.01,26.91,31.868,45.694,71.194,12.261,46.009,3.301
17/11/2020,52.964,11.454,7.299,2.571,13.96,26.58,31.857,46.144,71.105,12.212,45.484,3.263
16/11/2020,52.922,11.345,7.194,2.565,13.897,26.565,31.893,46.273,70.9,12.13,45.546,3.245
13/11/2020,52.367,11.108,7.078,2.498,13.794,26.323,30.877,45.634,71.605,12.024,45.121,3.192
12/11/2020,52.512,11.048,7.131,2.469,13.934,26.489,30.797,45.754,72.898,11.765,45.218,3.173
11/11/2020,53.621,11.219,7.17,2.467,14.271,26.83,31.408,45.656,73.508,11.839,45.177,3.122
10/11/2020,52.946,11.244,7.143,2.478,14.024,26.594,31.493,45.623,73.278,11.919,45.375,3.135
09/11/2020,51.207,11.178,7.25,2.407,14.036,26.113,30.788,46.013,74.114,12.36,44.918,3.093
06/11/2020,49.245,10.764,7.221,2.288,13.675,25.019,29.461,44.845,72.511,12.302,44.159,2.941
05/11/2020,49.185,10.742,7.199,2.258,13.668,24.994,29.528,45.048,72.92,12.474,44.386,2.985
04/11/2020,47.64,10.593,7.153,2.248,13.496,24.869,29.958,43.948,71.229,12.632,43.883,2.89
03/11/2020,47.486,10.662,6.899,2.237,13.297,24.865,29.947,43.367,70.398,12.466,43.264,2.847
02/11/2020,45.292,10.661,7.052,2.186,13.139,24.364,29.517,42.621,69.518,12.182,43.163,2.86
30/10/2020,44.672,10.611,7.066,2.138,12.912,24.153,28.865,41.749,68.359,12.359,42.205,2.862
29/10/2020,44.455,10.63,6.819,2.153,12.793,24.043,28.291,41.522,68.986,12.457,42.923,2.874
28/10/2020,44.226,10.7,6.768,2.206,12.486,24.25,28.082,41.407,68.421,11.963,43.356,3.447
27/10/2020,46.051,11.583,6.96,2.286,12.92,24.833,29.378,42.254,70.231,12.336,43.9,3.566
26/10/2020,47.728,11.729,7.092,2.357,13.306,25.618,30.389,42.621,70.615,12.345,44.467,3.593
23/10/2020,49.252,11.785,7.252,2.375,13.76,25.886,31.606,43.304,71.34,12.456,44.931,3.586
22/10/2020,49.886,11.641,7.352,2.29,13.828,25.926,32.352,43.854,71.692,12.395,44.784,3.594
21/10/2020,48.029,11.731,7.42,2.321,13.877,26.053,33.37,44.243,74.071,12.5,45.504,3.593
20/10/2020,48.4,11.951,7.547,2.313,14.481,26.354,32.96,44.056,74.954,12.771,46.3,3.58
19/10/2020,48.596,12.055,7.592,2.337,14.598,26.524,32.763,44.114,74.952,12.562,47.039,3.516
16/10/2020,48.64,11.829,7.627,2.297,14.64,26.381,33.07,44.319,75.401,11.803,47.402,3.418
15/10/2020,47.695,11.716,7.575,2.233,14.411,25.828,32.38,44.23,74.276,11.752,49.938,3.411
14/10/2020,48.185,11.883,7.559,2.271,14.552,26.263,32.624,44.193,75.01,11.748,50.795,3.452
13/10/2020,47.817,11.905,7.69,2.275,14.485,26.231,32.308,43.769,74.795,11.531,51.076,3.437
12/10/2020,47.402,11.878,7.694,2.349,14.514,26.532,32.664,43.439,74.703,11.733,50.278,3.423
09/10/2020,47.226,11.702,7.667,2.394,14.286,26.187,32.522,43.205,73.291,11.899,49.581,3.429
08/10/2020,46.735,10.937,7.191,2.407,14.37,26.003,32.498,42.916,72.829,12.045,49.43,3.316
07/10/2020,46.697,10.953,7.208,2.326,14.219,26.27,32.695,43.224,73.289,11.89,49.296,3.301
06/10/2020,46.381,11.091,7.284,2.318,14.273,26.37,33.184,43.029,73.149,12.129,50.136,3.369
05/10/2020,46.857,11.081,7.22,2.291,14.201,26.243,33.449,43.245,74.949,11.314,49.268,3.325
02/10/2020,46.187,10.79,7.161,2.236,13.772,25.874,34.491,43.01,74.106,11.232,48.795,3.259
01/10/2020,46.368,10.917,7.036,2.266,13.999,25.959,35.574,43.03,74.169,11.052,49.249,3.309
30/09/2020,45.318,10.847,7.062,2.258,13.832,26.008,28.939,42.009,75.002,10.929,50.321,3.352
29/09/2020,45.692,11.029,7.115,2.246,14.16,26.199,27.927,42.073,75.699,10.906,50.662,3.362
28/09/2020,46.485,11.083,7.089,2.183,14.069,26.543,26.876,41.976,74.719,10.749,50.84,3.308
25/09/2020,46.398,10.946,6.985,2.091,13.96,25.734,26.13,40.565,73.042,10.599,50.947,3.248
24/09/2020,47.245,10.802,6.907,2.093,13.847,26.043,26.285,40.281,73.17,10.652,50.694,3.304
23/09/2020,48.173,10.953,6.943,2.16,14.067,26.374,27.235,40.176,73.787,10.791,51.303,3.399
22/09/2020,48.401,10.923,6.98,2.187,14.017,26.204,27.382,40.348,73.461,10.601,50.975,3.366
21/09/2020,47.462,10.993,6.996,2.221,14.208,26.314,27.641,39.715,71.714,10.452,49.952,3.353
18/09/2020,48.868,11.443,7.075,2.336,14.547,27.31,28.935,41.184,72.953,10.763,50.595,3.483
17/09/2020,48.633,11.579,6.983,2.297,14.104,27.2,29.245,41.499,72.592,10.953,50.511,3.497
16/09/2020,47.477,11.697,7.001,2.22,14.058,27.284,29.151,41.685,73.217,10.978,50.034,3.533
15/09/2020,46.423,11.698,6.795,2.18,13.812,26.342,28.403,41.112,73.109,11.097,49.955,3.526
14/09/2020,46.212,11.624,6.746,2.176,13.747,26.447,26.166,41.151,72.507,11.01,49.644,3.482
11/09/2020,45.798,11.657,6.777,2.197,13.698,26.513,25.97,41.267,72.724,10.995,49.929,3.5
10/09/2020,46.045,11.417,6.8,2.245,13.662,26.345,26.239,41.226,72.953,11.004,50.065,3.524
09/09/2020,45.618,11.284,6.815,2.233,13.684,26.24,26.274,41.068,72.786,11.026,50.725,3.549
08/09/2020,44.994,11.094,6.698,2.242,13.647,26.046,25.926,40.447,70.684,10.979,50.337,3.581
07/09/2020,45.486,11.249,6.744,2.283,13.55,26.365,26.369,40.565,70.79,10.895,49.353,3.682
04/09/2020,45.567,11.191,6.721,2.278,13.479,26.277,26.144,40.222,70.597,10.711,48.869,3.791
03/09/2020,45.729,11.561,6.698,2.325,13.502,26.307,26.483,40.541,71.228,10.914,49.775,3.884
02/09/2020,46.867,11.641,6.839,2.316,12.913,25.781,26.428,40.753,73.158,10.802,50.367,4.002
01/09/2020,45.265,11.649,6.754,2.27,12.927,25.287,26.208,40.539,72.554,10.791,50.023,4.031
31/08/2020,44.828,11.627,6.767,2.3,12.822,25.468,26.777,40.601,72.11,10.8,49.373,4.1
